Source,Target,Type,id,label,timeset,weight
28,41,Undirected,0,,,1.0
28,19,Undirected,0,,,1.0
28,62,Undirected,0,,,1.0
28,39,Undirected,0,,,1.0
28,26,Undirected,0,,,1.0
28,104,Undirected,0,,,1.0
29,110,Undirected,0,,,1.0
29,35,Undirected,0,,,1.0
29,59,Undirected,0,,,1.0
29,23,Undirected,0,,,1.0
29,22,Undirected,0,,,1.0
29,2,Undirected,0,,,1.0
29,11,Undirected,0,,,1.0
29,7,Undirected,0,,,1.0
29,73,Undirected,0,,,1.0
29,111,Undirected,0,,,1.0
30,95,Undirected,0,,,1.0
30,26,Undirected,0,,,1.0
30,64,Undirected,0,,,1.0
30,62,Undirected,0,,,1.0
30,39,Undirected,0,,,1.0
30,90,Undirected,0,,,1.0
30,61,Undirected,0,,,1.0
30,104,Undirected,0,,,1.0
30,60,Undirected,0,,,1.0
30,78,Undirected,0,,,1.0
31,97,Undirected,0,,,1.0
31,117,Undirected,0,,,1.0
31,52,Undirected,0,,,1.0
31,3,Undirected,0,,,1.0
31,0,Undirected,0,,,1.0
31,20,Undirected,0,,,1.0
31,44,Undirected,0,,,1.0
31,25,Undirected,0,,,1.0
31,15,Undirected,0,,,1.0
31,6,Undirected,0,,,1.0
32,19,Undirected,0,,,1.0
32,41,Undirected,0,,,1.0
32,66,Undirected,0,,,1.0
32,104,Undirected,0,,,1.0
32,48,Undirected,0,,,1.0
32,95,Undirected,0,,,1.0
32,60,Undirected,0,,,1.0
32,78,Undirected,0,,,1.0
32,36,Undirected,0,,,1.0
32,22,Undirected,0,,,1.0
33,47,Undirected,0,,,1.0
33,84,Undirected,0,,,1.0
33,49,Undirected,0,,,1.0
33,42,Undirected,0,,,1.0
33,51,Undirected,0,,,1.0
33,55,Undirected,0,,,1.0
33,56,Undirected,0,,,1.0
33,20,Undirected,0,,,1.0
33,25,Undirected,0,,,1.0
33,69,Undirected,0,,,1.0
34,61,Undirected,0,,,1.0
34,95,Undirected,0,,,1.0
34,62,Undirected,0,,,1.0
34,60,Undirected,0,,,1.0
34,57,Undirected,0,,,1.0
34,39,Undirected,0,,,1.0
34,66,Undirected,0,,,1.0
34,64,Undirected,0,,,1.0
34,41,Undirected,0,,,1.0
